상권별_매출액_평균,점포_수,식료품_지출_총금액,교통_지출_총금액,시간대_아침점심_생활인구_수,시간대_오후저녁_생활인구_수,시간대_밤새벽_생활인구_수,상권별_매출건수_평균,프랜차이즈_점포_수,개업_점포_수,폐업_점포_수
-0.04260906354779591,-0.32436280911250576,-0.18016038180329583,-0.20442869417907011,-0.18092254666872398,-0.09191405557720916,-0.18534146261897883,0.15608299590904112,0.7401320826898342,-0.11386762575392587,-0.5221149839476474
-0.28216486514063954,-1.1863304449648375,-0.38237096850348284,-0.6532022368224105,-0.9336325509734109,-0.7389188149012963,-1.1852511930763607,0.4870554635338847,-0.5411013601550807,-1.115043182852517,-1.4690385481293151
-0.0803403722123395,0.24092067941086007,-0.2468362750512689,-0.2415327224102343,0.522230019133675,0.7286810073742953,0.4977176704248691,0.35519247334634757,0.5930446332740742,0.5874473605388738,0.4248085802340202
-0.43037799515999303,-0.32436280911250576,0.23734494425628455,0.2461437792085646,-0.029849179935282397,-0.009234200854624739,0.11597888897683328,-0.2568876330829138,-0.17047058853575284,-0.2289886995469177,0.03179979214785128
0.0750288245279504,0.45144052105529103,0.042486007231466484,-0.07279569191356437,0.8447573144447352,0.985235403400959,0.7564716212641175,0.08559440992704885,0.2224138616547469,0.6968025126664005,0.7296498792549754
-0.4572177225073984,0.2118025390097894,0.34318547418411666,0.3163151203555841,0.9066678084228724,0.819825231049811,0.9852343997278954,-0.14303212129048665,0.5114132476409159,0.25377527101360065,0.03179979214785128
-1.9309637995485454,-1.7881568449071839,0.19007038452103878,0.22222800836615816,0.2852208934154259,0.19475700948861346,0.4184251578291343,-0.8982844968675453,-1.5504135827396472,-1.4293760131814677,-1.4690385481293151
-0.11720583752785234,0.15135420985565992,0.324951979959591,0.3326493922458965,0.9539172989503728,0.928511411261369,0.9140221221297502,-0.17602945841631945,-0.023383139119993096,0.32915961589887344,0.4248085802340202
-0.17680723225991604,-0.07547841067796066,0.1270543835348064,0.08785163801030894,0.19759318162457357,0.17768669954997848,0.3222931077192198,-0.465456379825701,-0.023383139119993096,0.08534413078203298,0.03179979214785128
-0.44326697180728303,-2.472033498215616,-0.06429963835872331,-0.029150850642066496,-1.0549244074237032,-1.1605362021586618,-0.7374768238643653,0.5409039451689399,-2.3139288045494744,-1.8724032548342673,-1.4690385481293151
1.494578955198166,-0.7875367408660748,-0.630112436040087,-0.6444304592926069,-2.0588943994524893,-2.075357717429433,-1.668142744443693,0.9979099131030451,-0.7868983609298201,-1.8724032548342673,-1.4690385481293151
-0.7137455574219216,-0.7431376712134586,0.23688886160016975,0.3015546953772574,0.397011003666227,0.32392126849847686,0.5528188368986022,-0.1448981717274585,-1.1037858092511024,-1.115043182852517,-0.5221149839476474
-0.6663377577228358,-0.17977353911930086,0.35335120979549944,0.3802602957933664,0.49990386547739873,0.41700337881129673,0.6486437579394992,-0.6374800153031837,-0.17047058853575284,-0.5035848009681495,-0.5221149839476474
0.3403834469922161,0.4105274082353887,0.3222576696526414,0.29232128826169645,0.47746265691728224,0.644532106319061,0.3716397342405006,-0.08216783716233012,-0.023383139119993096,0.4659178248560693,0.03179979214785128
-0.9040751262146903,-0.03859433638748401,0.518139881883039,0.552888681878879,0.33867186074948097,0.30551332815574006,0.41813755567151023,-0.938312794218946,0.10635718604726964,-0.11386762575392587,-0.5221149839476474
0.7908587045542439,-0.2213489612142498,-0.4693009735819844,-0.6655802730329886,0.06311634482237305,0.19876921999436523,-0.09455989784938305,-0.3563335922707325,-0.5411013601550807,-0.8712276977356765,-0.5221149839476474
-0.12230832402463418,0.06570079205385726,0.5615394106763458,0.5361753349239529,0.39797020322309373,0.28434356495306284,0.5670133660906432,0.4157275804807643,-0.34027058744127536,0.17280196447944787,-0.5221149839476474
-0.008480831998326166,0.5737005827947704,0.6089129481896854,0.5980233040807693,0.47405451045817437,0.5108177468219226,0.3665252010789466,0.39124960170909645,0.10635718604726964,0.5874473605388738,0.7296498792549754
-0.869355093724533,-1.0381620805419243,-0.7741230861239273,-1.073886394693021,-0.839964468929151,-0.7680307807850268,-0.9635854692966861,-0.7203385027378411,-0.5411013601550807,-1.4293760131814677,-1.4690385481293151
0.668900570565484,-0.3090933308483824,0.09841572272683126,0.17562053000222283,-0.7100538159139796,-0.8285215638882253,-0.6734872385934828,0.9471449785459538,-0.17047058853575284,0.08534413078203298,0.03179979214785128
-0.00750546844998927,-0.7003246260514882,-1.165201767697611,-1.1934867218283207,-1.128937610709396,-0.9125712524357129,-1.1026075345744948,-0.4212018941324298,0.6690416351432914,-1.115043182852517,-0.5221149839476474
-0.7142024102133188,-0.05076335292827617,0.24364551928843534,0.19357708276723823,0.3827834856008405,0.4125273731906013,0.42814212135531676,-0.5764506593277368,0.2224138616547469,-0.5035848009681495,0.03179979214785128
-0.030392917941395373,0.008882675102243177,0.3150436155587812,0.11919726101548163,0.729060451441626,0.7708313801321125,0.7077041473868563,0.15314812001644026,0.3273998950903112,-0.009727947108930945,-0.5221149839476474
0.6403897700890361,0.26934820550357075,-0.06883702367063056,-0.21694924295693344,0.12315132759245305,0.10152677154120086,0.13815747867852268,0.7937142539580396,-0.023383139119993096,0.32915961589887344,0.03179979214785128
0.06678987949473233,-0.13959197214689834,0.27230443720620234,0.20753794247787113,0.22401001441369622,0.2067392724057409,0.28381615118512976,0.13293014814502516,-1.1037858092511024,-0.3576831108707668,-0.5221149839476474
