상권_코드_명,상권별_매출액_평균,상권별_매출건수_평균,프랜차이즈_점포_수,식료품_지출_총금액,교통_지출_총금액,점포_수,개업_점포_수,폐업_점포_수,시군구_명,시간대_아침점심_생활인구_수,시간대_오후저녁_생활인구_수,시간대_밤새벽_생활인구_수
고덕중학교(고덕2동주민센터),133632208.33333331,6019.1866666666665,11,307190926.0,148803130.0,107,24,3,강동구,4215,2913,5724
굽은다리역 1번(십자성마을),491647855.0759494,17656.41772151899,20,930124943.0,628101111.0,182,29,5,강동구,56268,46606,79336
굽은다리역 2번,139317639.59756097,11003.207317073173,11,543048711.0,330267675.0,121,16,3,강동구,27944,19899,41363
굽은다리역 3번,160980201.2403846,10319.192307692309,12,360625306.0,201464341.0,193,16,4,강동구,15172,15867,16429
굽은다리역 4번,245696860.28,12550.493333333334,28,1247196986.0,773604171.0,482,46,11,강동구,75625,58137,106077
길동신동아아파트,53693348.97826087,1143.5869565217392,4,111585864.0,82263526.0,31,0,0,강동구,4758,3526,5848
길동주민센터(강동도서관),439999843.46405226,21161.08496732026,29,1407202442.0,935261787.0,540,51,13,강동구,70917,65769,84645
둔촌2동주민센터,340638513.592233,8053.757281553398,17,203115104.0,141264129.0,144,15,4,강동구,9937,9167,11527
둔촌고등학교(둔촌중학교),308381440.51666665,15128.35,4,337178768.0,220340741.0,79,4,0,강동구,10509,8316,10318
둔촌동역 1번(한산중학교),236936559.69798657,11384.845637583892,20,977326621.0,606341070.0,351,31,5,강동구,66520,56785,78191
둔촌동역 3번(성내3동주민센터),413886180.4683544,5070.329113924051,7,471480237.0,328531191.0,161,21,3,강동구,33613,29582,41775
둔촌동역 4번,94732192.61428572,4960.257142857143,11,385451418.0,259960929.0,143,22,4,강동구,14832,11316,21916
둔촌푸르지오아파트,102209243.14705884,2137.3823529411766,2,33771097.0,20843216.0,25,3,1,강동구,5536,4929,7290
명일역 1번,111372555.01666668,7747.666666666667,8,303349533.0,204478686.0,71,6,0,강동구,13207,9934,19317
묘곡초등학교(고덕아이파크아파트),248970911.33582088,11922.858208955224,31,1435306317.0,775020452.0,258,34,5,강동구,14730,13271,17765
상일여고(상일초등학교),401575044.57763976,13189.105590062112,34,368381184.0,209100395.0,380,41,11,강동구,19085,15298,21332
선사초등학교,121723227.75,1656.3333333333333,0,30936461.0,23416735.0,21,0,0,강동구,504,441,658
성내중학교,145173108.05172414,6084.379310344828,7,233690931.0,173845024.0,64,10,1,강동구,13032,9523,18373
성내천어린이공원(하니사랑길),342873498.6666667,13133.135802469136,13,644055268.0,515502684.0,203,11,2,강동구,27019,22813,32268
암사동성당(효정하나플러스아파트),141759990.19791666,8809.697916666666,8,648437223.0,404452766.0,182,25,6,강동구,29961,23808,43758
