상권_코드_명,상권별_매출액_평균,상권별_매출건수_평균,프랜차이즈_점포_수,식료품_지출_총금액,교통_지출_총금액,점포_수,개업_점포_수,폐업_점포_수,시군구_명,시간대_아침점심_생활인구_수,시간대_오후저녁_생활인구_수,시간대_밤새벽_생활인구_수
정릉역 2번,196998497.1276596,2034.723404255319,1,63336763.0,33860088.0,52,4,1,성북구,4264,3301,6664
정릉우체국,233385735.9017857,13677.80357142857,21,627431705.0,406730330.0,138,21,4,성북구,10073,9528,12971
종암경찰서,341855046.56643355,15721.041958041958,34,166855840.0,93650229.0,263,24,5,성북구,16883,17951,18041
종암동주민센터,234631197.11382115,44546.18699186992,17,365613087.0,191247891.0,203,27,6,성북구,19033,18872,21746
종암아이파크2차,189559966.15107915,10827.8345323741,20,398030526.0,238053236.0,191,15,5,성북구,27880,24697,36764
종암아이파크2차후문,721375030.125,9355.625,2,232110309.0,159497498.0,17,0,0,성북구,2237,1649,3313
종암중학교,238320296.78688523,24114.081967213115,8,203582488.0,126302778.0,105,8,1,성북구,18592,14172,20028
한성대입구역 3번,197824458.52671757,13124.282442748092,19,524999877.0,290150395.0,245,20,4,성북구,31776,26872,40139
한성대입구역 5번,239112319.0,9780.868852459016,6,233489388.0,158042151.0,113,12,2,성북구,13182,11272,15512
홍대부중,146574801.01960784,4247.176470588235,9,239963835.0,157738273.0,92,13,3,성북구,2209,1605,2649
KB국민은행 중화동지점,143999965.52173913,10447.434782608696,3,276881751.0,106642241.0,44,5,0,중랑구,8126,6763,11277
러스크서울병원,164963077.9107143,8981.339285714286,13,576158251.0,316500238.0,186,25,4,중랑구,21562,19361,26759
망우3동주민센터,132708931.5681818,10023.204545454546,6,334075449.0,189343349.0,77,8,1,중랑구,9787,6750,12898
망우본동주민센터,234020330.8402778,14170.944444444443,24,531588922.0,239637804.0,299,22,8,중랑구,16610,15949,15475
망우역 1번,395593901.73,7290.12,13,155092103.0,91073135.0,142,12,2,중랑구,15944,17029,14793
망우역 2번,131771482.68965515,8950.956896551725,20,573337778.0,337877409.0,186,25,4,중랑구,26464,21533,35078
먹골역 1번,262061476.1086957,14166.90579710145,29,770187905.0,525040533.0,209,29,4,중랑구,38484,31731,53633
먹골역 5번,319684707.976,10814.88,8,344965063.0,178501973.0,281,32,8,중랑구,21435,20469,26345
먹골파출소,278227127.225,13849.3,3,189581650.0,114859877.0,35,2,1,중랑구,7649,5978,11065
메가박스 상봉,416379026.9145299,19830.547008547008,21,516523467.0,274792458.0,280,29,6,중랑구,23804,22757,28794
면동초등학교,201304975.057971,12539.826086956522,10,692871075.0,367711064.0,150,14,2,중랑구,13072,11409,15497
면목2동체육관,382928744.3428571,14650.066666666668,13,964646084.0,527804737.0,299,28,6,중랑구,31852,23608,47895
면목5동주민센터,85263491.7361111,6079.180555555556,8,425407574.0,248924910.0,122,16,1,중랑구,10179,7661,15399
면목동우체국,92288901.57943924,6533.897196261682,17,670423367.0,343459610.0,176,20,6,중랑구,24522,18695,36497
면목역 1번,231042641.4126984,15063.253968253968,11,872329134.0,463544223.0,176,18,4,중랑구,26680,21650,39559
면목역 2번,239744328.53333333,15923.488888888887,23,1220209997.0,730274464.0,309,41,10,중랑구,58568,44441,81967
면목역 3번,201870968.79816517,11203.08256880734,7,310368532.0,180691790.0,153,18,3,중랑구,23289,21379,30987
배꽃어린이공원,66898599.125,861.375,2,157988978.0,68730014.0,25,0,0,중랑구,1624,1418,2300
사가정역 1번,266678088.96703297,11525.989010989011,19,502257808.0,244198573.0,213,37,7,중랑구,29176,24926,42183
사가정역 4번,158876328.5959596,8684.818181818182,11,616082758.0,297373975.0,150,23,3,중랑구,28149,25178,38654
상봉역 3번,433200344.6736842,21590.526315789477,20,544785371.0,289142170.0,253,51,8,중랑구,31680,30071,40672
상봉역 4번,273630176.7631579,13176.559210526317,21,937010125.0,546287696.0,286,31,6,중랑구,30642,23643,43142
상봉역 7번,177192431.5882353,11759.14705882353,5,550238391.0,294252784.0,102,12,2,중랑구,27560,23767,34737
서일대학교,189776914.91275167,14332.154362416108,27,890898695.0,455052406.0,261,28,8,중랑구,22340,17834,30783
세화어린이공원,3875653.375,172.625,4,184899315.0,66990890.0,7,0,0,중랑구,4925,4376,7421
신내1동주민센터,436975792.575,21989.8125,53,436505512.0,280296109.0,343,28,9,중랑구,19803,21436,22502
신내IC북측,199888326.0,1166.2105263157894,0,136617813.0,87712606.0,32,3,0,중랑구,1194,1140,1215
신내역 1번,301936266.0,4591.0,2,64642971.0,39413317.0,31,3,0,중랑구,1416,1546,1014
신내역 2번,321253493.5,14500.916666666666,4,12309320.0,8435309.0,31,13,1,중랑구,19,18,17
신묵초등학교,194717076.42,8647.76,17,1089280575.0,677379169.0,280,25,7,중랑구,35743,29306,51620
오거리공원,216610038.8872181,11551.353383458649,20,918129346.0,445746229.0,291,36,9,중랑구,55812,47797,74902
용마문화복지센터,150307081.62790698,7575.418604651163,7,160153483.0,86109519.0,72,8,1,중랑구,8281,8206,7369
월드순복음교회,204633616.6792453,11336.547169811322,7,374026348.0,274432777.0,132,8,1,중랑구,21871,19590,27545
장스여성병원,270438450.4747475,11573.171717171715,13,309589709.0,146173051.0,150,25,3,중랑구,15476,14809,16545
장안제일시장,332555054.7608696,12446.597826086956,14,448992703.0,256684830.0,202,21,4,중랑구,16015,13897,20948
장안중학교,95889151.38679244,4414.820754716981,9,525455860.0,326972927.0,181,21,3,중랑구,14250,12856,18675
중곡초등학교,257250815.52272728,16694.738636363636,13,408970618.0,189287001.0,184,19,2,중랑구,15688,12753,22657
중랑노인종합복지관,206578968.5874126,10294.67132867133,15,639076574.0,346240204.0,314,30,6,중랑구,17000,15411,21729
중랑역 1번,190358896.97368425,14636.065789473683,8,667068062.0,296912499.0,143,18,3,중랑구,20603,18558,27965
중랑역 2번,202900209.8636364,8629.136363636364,2,35194892.0,12316362.0,22,3,0,중랑구,2647,2429,3537
중랑역 4번,223852051.7361111,11515.25,11,116859611.0,95707537.0,90,5,1,중랑구,4948,5354,5704
중화역 1번,208962503.1586207,9377.23448275862,20,793069550.0,502473519.0,265,19,6,중랑구,44727,34611,57683
중화역 4번,319337568.69343066,11328.335766423355,17,177614453.0,107017405.0,184,16,3,중랑구,14661,15777,14471
태릉시장 특화거리,177860562.47474748,9057.141414141412,5,142411979.0,64509508.0,142,20,4,중랑구,11696,11074,15268
하나은행 망우동지점,257034849.4189189,11065.783783783783,5,110746348.0,57423620.0,102,14,2,중랑구,6997,7588,6693
혜원여고,124592718.72463769,7099.014492753623,5,133812279.0,81441771.0,60,5,1,중랑구,6408,4598,9304
화랑대역 7번,84906183.91228071,4678.052631578948,7,219785389.0,138579902.0,67,13,1,중랑구,5906,5708,6013
KC대학교,459823419.34375,29400.5,2,215551320.0,119673090.0,35,4,0,강서구,5355,4049,7806
가양역 10번,328876722.2621359,12886.747572815531,12,24985279.0,9055217.0,137,15,4,강서구,1116,1089,858
강서구다솔마을,1181470527.0144928,16633.695652173912,9,500774934.0,295715839.0,205,21,4,강서구,11620,8311,16171
강서구청가양동별관,192426554.21052632,13530.605263157897,8,0.0,0.0,49,4,1,강서구,655,597,620
강서구청옆,201435809.7142857,8439.948051948051,9,81447151.0,56639934.0,64,11,2,강서구,4765,4614,5561
강서새말어린이공원,72528568.69767442,5425.372093023256,2,210674600.0,151126336.0,33,3,0,강서구,4754,4213,5657
개화산역 1번,178709806.2962963,5663.987654320988,3,45970281.0,28296819.0,88,14,3,강서구,985,1303,631
곰달래도서관,201074010.46666667,9218.691666666668,12,872314997.0,598209733.0,242,13,4,강서구,37883,34757,47503
공항고등학교,278064842.5131579,20489.61842105263,9,248210728.0,160792460.0,95,8,1,강서구,4632,3580,6717
공항시장역 1번,260912477.06504065,12486.471544715449,12,983809267.0,608416096.0,243,14,3,강서구,25974,20754,32232
공항시장역 3번,161040492.2767857,7193.464285714285,6,511274964.0,296535438.0,161,18,2,강서구,6378,5474,8287
까치산역 1번,217394496.2136752,19370.1452991453,24,1851226143.0,1430353184.0,278,28,7,강서구,50101,40741,74330
까치산역 3번,500303642.7631579,29281.929824561405,27,1370588082.0,1095648335.0,406,50,11,강서구,120552,96368,161631
까치산역 4번,244697375.12269935,14907.0,30,2197722976.0,1617100093.0,442,42,14,강서구,46233,37732,71567
등촌1동주민센터,698749777.839416,16691.89781021898,32,892757909.0,589362467.0,370,28,9,강서구,37447,30913,46204
등촌3동주민센터,595159999.2191011,27352.550561797754,55,239995214.0,188683219.0,490,66,14,강서구,15224,15282,11252
등촌역 1번,136210149.01923078,2160.519230769231,4,119801234.0,80677184.0,53,4,0,강서구,4304,3842,5027
등촌역 7번,92107764.63333334,5952.55,4,505092454.0,371918529.0,66,5,2,강서구,9882,6755,14352
뜸부기어린이공원,243549674.3368421,11992.578947368422,8,611252018.0,377544366.0,196,19,3,강서구,13895,13389,18620
발산역 5번,341086234.96062994,7859.346456692913,16,124956517.0,90781875.0,188,17,3,강서구,12608,13288,7073
방화역 1번,426386417.54545456,28851.18181818182,31,351914917.0,176542926.0,115,7,2,강서구,11765,11172,12739
방화역 2번,206928046.9107143,10555.348214285714,11,224436006.0,143595026.0,101,13,3,강서구,7604,7925,8665
방화역 3번,268893021.2121212,10237.272727272728,14,210223508.0,143127164.0,144,11,2,강서구,8686,9769,7844
방화초등학교,71602347.52564102,3103.871794871795,6,517005269.0,326564820.0,95,7,3,강서구,9553,7999,12887
백석중학교,13650182.0,848.6428571428571,3,411769193.0,275045568.0,48,5,1,강서구,17417,13433,24287
송정역 2번,135403833.88235295,13199.735294117649,8,220260136.0,147451633.0,88,5,2,강서구,3872,3326,4445
송정역 3번,321026686.58992803,20421.28776978417,29,1124907662.0,659342367.0,362,32,8,강서구,38029,28913,56521
송정역 4번,89122742.25,6411.3,1,126861422.0,65647252.0,23,4,1,강서구,2849,2402,2751
신곡초등학교,106116852.1125,11113.5,10,997854907.0,687792792.0,122,15,1,강서구,30398,24423,44003
신광명마을,363849262.7142857,3055.0714285714284,2,123008885.0,89710596.0,40,3,0,강서구,1419,1187,1051
신방화역 2번,495171594.3072626,21436.21787709497,34,1113884592.0,703295712.0,407,46,9,강서구,38942,35620,48029
신방화역 8번,161560145.39655173,7183.413793103448,6,728375244.0,385696643.0,84,10,2,강서구,7895,7101,10349
양천향교역 2번,227521706.1509434,19604.830188679247,12,149748434.0,125941457.0,120,9,2,강서구,6189,5291,6517
양천향교역 5번,647568763.0789474,17002.885964912282,26,119729520.0,46978226.0,311,38,8,강서구,9612,8053,9130
양천향교역 7번,802108752.3809524,31914.650793650795,43,0.0,0.0,239,67,8,강서구,2049,1789,1372
염창무학아파트,167405927.63636363,12461.89393939394,3,98948797.0,72851431.0,50,7,1,강서구,4381,3832,6084
염창역 2번,263340545.4827586,11046.241379310344,9,112976031.0,76810786.0,59,13,1,강서구,5827,5589,5527
우장산롯데캐슬아파트앞,148907229.66197184,6437.422535211268,8,253035848.0,189474054.0,86,9,3,강서구,7055,6290,7585
우장산역 1번,272142517.1111111,12823.51282051282,18,441661525.0,306171542.0,178,14,4,강서구,23565,19806,31297
우장산역 4번,346435681.2266667,15966.086666666666,30,935523153.0,678191968.0,316,53,10,강서구,35818,26607,41158
우장산힐스테이트,207240787.4025974,10454.493506493509,13,111673492.0,85384779.0,77,8,2,강서구,2614,2703,2200
정곡초등학교,45148145.0,717.625,2,100481184.0,65110859.0,12,1,0,강서구,224,226,210
푸른들청소년도서관,288656797.23913044,16391.514492753624,28,1178682116.0,753621264.0,364,61,10,강서구,36306,36218,46125
화곡2동주민센터,173358461.55487806,8271.621951219513,25,1347105927.0,985255265.0,305,39,5,강서구,35212,27204,50846
화곡4동주민센터,119565547.78723404,11033.489361702128,7,1077499372.0,736616122.0,147,19,4,강서구,29328,20750,41743
화곡보람2차아파트,58094902.0625,3234.21875,1,150165215.0,107030628.0,31,7,2,강서구,1632,1287,2485
화곡역 2번,201654188.44444445,11552.975308641977,12,689713905.0,425052653.0,162,14,3,강서구,17527,16831,21674
화곡역 4번,346174481.21568626,19936.986928104576,33,2831710148.0,2085556200.0,427,58,9,강서구,95597,73383,143940
화곡역 5번,183209617.6355932,10454.85593220339,24,1298295193.0,921239168.0,342,35,9,강서구,58606,49702,78436
화곡초등학교,225275378.91666663,13375.902777777776,15,508846898.0,387881669.0,128,20,3,강서구,18418,15426,23843
화원중학교,263792506.9774436,14089.87969924812,15,1026208218.0,778674504.0,224,21,3,강서구,12279,10324,13971
KT구로지사,58072032.2,1871.68,2,322091371.0,198753981.0,86,7,1,관악구,37868,36339,34904
관악구 중앙길,424088015.0367647,22919.985294117647,46,1481834426.0,842062228.0,428,53,11,관악구,84597,75296,114466
관악구신사동주민센터,456311907.6549296,27730.98591549296,37,854149885.0,489828980.0,364,47,11,관악구,37925,30966,55252
관악동부센트레빌아파트(은천로35라길),26078626.75,3442.75,0,339658752.0,221624841.0,9,2,0,관악구,5550,4027,8851
관악소방서(문영여고),220346056.69230768,24062.153846153848,2,30333939.0,22923639.0,24,1,0,관악구,1377,751,1813
관악우성아파트,188091566.5,8953.03947368421,9,46132608.0,29157462.0,103,6,2,관악구,5223,4878,5610
관악해태어린이공원,292107683.71153843,29172.32692307692,12,623166973.0,407730108.0,88,11,1,관악구,20429,15273,27051
구립대학경로당(관악산샘말공원),440065829.2222222,55266.64814814815,53,1525103593.0,896986558.0,543,77,20,관악구,93352,82643,121500
구암초등학교,605363509.14,21378.83,10,118157497.0,76233567.0,110,15,4,관악구,4065,3806,5211
국제신학대학원대학교(남서울중학교),93582174.89534885,6379.267441860465,9,452863804.0,242795274.0,111,10,2,관악구,22372,19519,29248
낙성대역 1번(관악구민 종합체육센터),199552905.7,15472.8875,10,644520959.0,403509884.0,142,21,5,관악구,34265,28296,48428
낙성대역 5번(관악중학교),74008939.40476191,3362.0714285714284,5,413198758.0,239176331.0,51,6,2,관악구,17110,12260,25198
난곡초등학교(난곡동벽화마을),192307588.0117647,14788.435294117648,8,286288900.0,156127825.0,88,7,0,관악구,13895,15611,16115
난우중학교,83210548.0224719,5596.808988764045,10,549005521.0,248369383.0,110,12,2,관악구,28111,21937,38906
난우초등학교,148100089.89430895,6381.121951219512,21,599576938.0,364957870.0,170,15,4,관악구,15264,12247,23763
난향초등학교,191484325.73913044,15515.847826086956,4,299776770.0,122665072.0,53,9,1,관악구,12250,10160,15220
남강고등학교(남강중학교),405414600.7181208,27013.12080536913,35,1219926242.0,803743748.0,300,29,7,관악구,45855,40813,63389
남부초등학교,97584490.14285716,3179.1428571428573,11,427931584.0,235246816.0,127,26,4,관악구,11175,9439,14496
당곡중학교,230069872.3263889,13192.993055555557,22,623616625.0,344565676.0,239,35,8,관악구,11926,10028,13087
미림여고,69119017.80434783,4664.760869565217,4,249519192.0,180714441.0,29,7,1,관악구,11623,7143,16255
미성동주민센터,124563369.61956522,8240.945652173914,14,599138295.0,373099711.0,123,13,2,관악구,19732,15109,30305
미성초등학교,216879638.96503496,10995.552447552447,15,578358071.0,376422647.0,209,18,3,관악구,14382,12446,20053
보라매동주민센터(당곡고등학교),110115459.1764706,7265.64705882353,5,476978706.0,322319680.0,51,8,2,관악구,6812,4622,10710
봉천역 1번(관악초등학교),109416543.5609756,12269.30487804878,13,291563065.0,186178692.0,121,13,2,관악구,16197,13803,22146
봉천역 4번(봉천110안전센터),277307720.27272725,11444.545454545454,11,211964970.0,129888770.0,116,15,4,관악구,13176,13368,16438
봉천역 6번,46358777.56818182,1491.7045454545455,3,277180145.0,170857437.0,51,8,0,관악구,12725,10297,17853
사당역 4번,452858892.8382353,35036.492647058825,25,1229228129.0,850087889.0,314,39,7,관악구,60535,51189,77604
샤로수길,566512869.12,30952.08,41,1233372975.0,761591480.0,502,67,16,관악구,64785,64491,79583
서울대입구역 8번,120490419.18421052,8970.171052631578,12,671325856.0,345942082.0,159,24,4,관악구,27407,21447,37810
서울산업정보학교(서울삼성초등학교),86386771.56,13113.28,4,268724276.0,153831823.0,43,5,0,관악구,12189,10210,12596
서원동주민센터(신관중학교),145865140.75409836,11023.032786885246,12,254922431.0,155899898.0,99,6,1,관악구,11657,9488,16367
신대방역 1번,124879862.40983608,3737.2131147540986,9,87505587.0,38761081.0,75,10,1,관악구,10167,9735,11090
신대방역 2번,377191012.10144925,18688.130434782608,32,580338897.0,372248579.0,397,30,10,관악구,17621,17868,20858
신림역 1번,418486599.0,29211.032258064515,7,189969791.0,88365958.0,32,4,1,관악구,9832,6695,14498
"신림역 5번(신림동주민센터, 신림동별빛거리)",449263443.1052632,31190.326315789476,33,1451675199.0,868656211.0,316,34,8,관악구,73396,61492,102392
신림역 8번,664899480.3404255,13955.117021276596,12,651883079.0,383131901.0,188,20,6,관악구,25319,22627,32232
신림우방아파트,210792026.98,24979.66,5,634784689.0,331679536.0,75,11,3,관악구,26712,19402,39652
신림주공2단지(광신고등학교),26026641.75,1324.1666666666667,1,182775990.0,59792839.0,17,0,0,관악구,6337,3228,13801
신림초등학교,68636448.55555555,4952.6,3,304713848.0,154928782.0,50,6,1,관악구,15676,9593,27009
신림현대아파트,160111809.6091954,7645.16091954023,6,151632795.0,84002132.0,94,8,1,관악구,6722,6211,8708
신성초등학교,168279835.97413793,10490.094827586208,11,742539793.0,425864960.0,196,28,5,관악구,24199,19218,33450
신원동주민센터,152921301.69444445,13713.361111111111,20,267640622.0,138218743.0,140,22,4,관악구,16305,15209,20727
영락고등학교,142937227.53773585,11179.311320754718,13,734702822.0,418472354.0,158,29,4,관악구,24547,18606,36783
원신초등학교(구세군관악영문교회),71673272.83870968,3637.177419354839,3,559753034.0,241512364.0,111,6,5,관악구,19262,18498,24198
은천초등학교(은천교앞),290023518.530303,22196.12121212121,25,625191175.0,340253914.0,197,32,6,관악구,20009,18682,25028
인헌고등학교(인헌중학교),193770902.0246913,15702.271604938273,16,875189531.0,579708725.0,107,15,2,관악구,24072,19281,34536
조원동주민센터,154832789.2222222,4673.888888888889,5,293345813.0,175985968.0,56,10,0,관악구,8727,6229,13338
청룡동주민센터,158939071.6521739,10954.945652173914,13,237482995.0,135244240.0,109,18,2,관악구,11314,10467,14542
청림동주민센터(상도중학교),6867693.285714285,152.57142857142858,3,267063523.0,133784026.0,51,10,1,관악구,11745,9991,19726
호림박물관(성보고등학교),172124231.21126762,7215.619718309859,14,268141467.0,163954061.0,99,10,1,관악구,10358,8102,10611
KT금천빌딩(금천구시설관리공단),162398173.52688172,9027.666666666666,11,28604659.0,17442322.0,104,12,2,금천구,1650,1723,1157
가산동우체국,213883244.51960784,13176.29411764706,16,498294848.0,328139649.0,223,21,4,금천구,16251,14160,20241
가산동주민센터,671896865.6271186,27583.93220338983,17,187871838.0,152813042.0,120,15,2,금천구,2948,2738,2023
가산디지털단지역 1번 출입구,282815098.58536583,4611.878048780488,3,184329048.0,74212649.0,66,8,2,금천구,8768,7815,6201
가산초등학교(세일중학교),267663847.80612245,16241.622448979591,11,687171599.0,437281856.0,225,28,6,금천구,12698,11416,14012
금산초등학교(금천고등학교),201863529.0437956,10870.357664233576,16,688748238.0,476364816.0,186,12,4,금천구,15399,10800,21445
금천구립가산도서관,130385010.45652172,13110.08695652174,7,423568918.0,284583655.0,91,7,1,금천구,19614,14863,26574
금천구청역 1번 출입구,249769243.59375,16190.25,19,106755778.0,85343707.0,165,20,3,금천구,5929,6414,4752
금천금빛공원(은행나무사거리서측),248196798.2075472,12113.471698113208,8,246897429.0,142643445.0,109,11,2,금천구,3788,3889,4674
금천세무서,193178842.244898,17096.938775510203,5,368686056.0,233980528.0,145,3,1,금천구,23745,19819,32405
금천어울림복지센터,232470390.92,3235.4,3,43877686.0,30312471.0,43,4,2,금천구,2688,2678,3026
금천철쭉어린이공원(금하마을),72868322.43478261,4165.898550724638,5,253747357.0,99814640.0,94,8,1,금천구,6525,5885,7746
금천파출소,79719717.73333333,3461.133333333333,0,10674497.0,5429961.0,17,2,0,금천구,739,844,899
금천해태공원,155365288.20987654,10858.987654320988,10,733863820.0,378658486.0,139,17,3,금천구,27398,24431,39310
난곡중학교,139911083.74603173,12985.555555555557,11,821789298.0,475544018.0,131,17,3,금천구,19567,16238,26196
독산119안전센터,194391933.14285716,7721.417582417583,13,583032189.0,353436227.0,189,23,4,금천구,16917,14808,23263
독산2동주민센터,189122721.91964287,10380.205357142857,15,457958260.0,228607639.0,177,20,4,금천구,11214,8700,16389
독산동성당,301022944.99264705,18906.404411764703,17,1049774956.0,545037583.0,272,30,5,금천구,32333,28884,47030
독산동정훈단지,291420414.3826087,16738.573913043478,13,349860620.0,178857327.0,147,19,3,금천구,8346,7512,11672
독산역 1번 출입구,245570572.03125,20624.4375,12,145988500.0,115066452.0,42,9,2,금천구,6260,4992,7497
동일여자고등학교,195065208.5952381,5366.321428571428,10,182245076.0,103123158.0,108,10,2,금천구,3807,3523,4437
두산초등학교,177847847.0625,9517.671875,6,116677581.0,80869738.0,73,3,0,금천구,3864,3104,4266
말미고개,340537368.3604651,7515.476744186047,21,745543938.0,448289233.0,193,16,3,금천구,18807,15235,28704
문성초등학교,277037980.17333335,12357.446666666669,15,421207824.0,229305198.0,301,37,8,금천구,15920,15485,21179
백산초등학교,107875577.18666668,7281.346666666666,14,265972563.0,114830964.0,92,9,1,금천구,6982,6528,9027
삼성산자연공원(서울금천초등학교),196887226.68817204,10392.118279569891,11,689572493.0,340369643.0,139,23,3,금천구,28285,22130,42251
서울축산농협 독산역지점(독산파출소),356258659.0365854,15557.40243902439,10,507256213.0,336225245.0,140,15,4,금천구,9138,7246,12493
석수역 1번 출입구,207218406.47887325,7607.183098591549,11,144860819.0,92188050.0,86,2,0,금천구,5013,4839,4940
시흥3동 우편취급국,169071092.75,16527.125,4,57607707.0,20157721.0,441,18,3,금천구,1781,1572,1180
시흥4동주민센터(서울신흥초등학교),196171850.90434784,10725.008695652174,17,497928877.0,231934316.0,148,11,3,금천구,14388,10776,19293
시흥동 은행나무사거리,430440505.45454544,28625.404958677685,27,901808373.0,422175499.0,206,19,5,금천구,14603,12519,22692
시흥초등학교(시흥1동우체국),99810914.20454544,5044.068181818182,17,678249072.0,347646444.0,180,15,3,금천구,15991,13860,22835
한울중학교,281079191.6296296,21952.896296296298,20,761913932.0,471497209.0,208,22,5,금천구,19462,17115,27219
KT대방빌딩,282196805.8780488,12575.341463414634,4,14448496.0,6829041.0,47,3,0,영등포구,11229,9604,12776
공군호텔,343348590.928,19953.392,25,491164224.0,268472061.0,238,17,6,영등포구,27317,22893,33012
구로디지털단지역 4번,301899545.1682243,9909.355140186915,12,525136937.0,299828053.0,358,40,11,영등포구,28000,26107,35017
구로세무서,74092197.375,1836.375,1,26998448.0,14170334.0,46,1,0,영등포구,6133,5934,2486
당산반도유보라팰리스아파트,152334279.0348837,9584.720930232555,8,229833876.0,163676816.0,106,16,3,영등포구,7067,6047,7461
당산역 13번,67176269.9090909,1069.5454545454545,0,48532747.0,20478831.0,38,1,0,영등포구,1157,1196,928
당산역 8번,85683812.4,3355.9,0,356418916.0,208787764.0,41,1,0,영등포구,8577,8151,6831
대동초등학교,126626044.5730337,3387.0337078651687,2,119421687.0,63717152.0,105,21,5,영등포구,7412,6553,11267
대림1동주민센터,206244784.0568182,10357.65909090909,13,409463872.0,207520718.0,147,9,3,영등포구,13791,11988,19226
대림갑을명가아파트,86695717.73529412,2988.558823529412,2,32501662.0,10185778.0,26,5,0,영등포구,3684,2883,5921
대림성모병원,626560708.4074074,34253.37037037037,19,215901199.0,121118039.0,171,16,3,영등포구,12528,11113,12449
대림역 11번,63024469.40909091,8324.863636363636,1,70486611.0,36416482.0,34,11,1,영등포구,7498,7990,10058
대림역 5번,233292642.2948718,11245.820512820514,5,431574075.0,270047840.0,195,24,5,영등포구,19427,19080,21342
대림차이나타운(대림역 12번),194072714.4375,5293.25,0,123373333.0,68260129.0,35,6,1,영등포구,8949,8807,13025
대림한신아파트,127436930.25287355,9128.149425287356,5,369791768.0,178017388.0,122,13,2,영등포구,25869,24619,34677
대방역 4번,110208198.05882353,5367.441176470588,1,119376769.0,55204464.0,35,0,1,영등포구,6870,5679,8894
대방역 6번,317326985.2641509,17652.264150943396,8,304048379.0,172856810.0,81,7,1,영등포구,14026,12363,13831
도림2동유수지내체육시설,217764976.9090909,16533.8,10,117358849.0,66793331.0,63,5,1,영등포구,4786,3857,7219
도림동주민센터,56845505.3902439,5339.0,4,134090053.0,67577707.0,41,5,0,영등포구,8058,7056,10079
도림초등학교,48920179.0,4935.515151515152,2,288316433.0,141147990.0,48,7,2,영등포구,14264,11532,21251
도신초등학교,780635392.6875,8066.9375,9,394418465.0,187028762.0,142,5,3,영등포구,15345,13030,22455
문래동남성맨션,42992813.0,986.25,3,19456440.0,13573542.0,23,5,0,영등포구,1712,1819,1527
문래동사거리,198132531.29166663,16342.583333333334,1,62485050.0,41579553.0,64,4,0,영등포구,6011,6625,4688
문래소공원,141887539.05555555,4517.166666666667,1,49038866.0,32954204.0,44,2,0,영등포구,7947,6329,9337
문래역 3번,91571431.3,4258.4,0,0.0,0.0,39,5,0,영등포구,762,643,425
문래예술촌(문래창작촌),962664572.5185186,34973.0,15,395531209.0,209585553.0,549,80,11,영등포구,23442,23871,15438
문래중학교,225563632.7179487,18392.410256410258,9,183764648.0,69865449.0,78,6,1,영등포구,3676,3103,4875
보라매역 4번,228949074.69047615,11494.952380952382,3,174482046.0,97977596.0,76,5,0,영등포구,8616,7050,11308
보라매역 6번,143923719.49019608,5758.598039215686,17,355597484.0,185601192.0,276,22,4,영등포구,28915,24327,35234
서울시립영등포장애인복지관,22721715.0,5252.5,0,0.0,0.0,4,0,0,영등포구,866,659,573
서울지방병무청,249612981.10784316,7343.539215686274,13,496741672.0,254497283.0,164,14,3,영등포구,26955,23381,35146
선유도역 1번,1214248941.136646,14675.521739130434,37,1252081785.0,779049809.0,533,50,13,영등포구,35039,28554,33763
선유도역 6번,284746364.03896105,20145.92207792208,24,113121539.0,70978885.0,183,21,4,영등포구,14593,11315,13289
신길2동우편취급국,216418407.8888889,7030.825396825397,3,418936559.0,215337605.0,150,7,3,영등포구,21270,16988,29084
신길3동주민센터,162260718.032,8895.104,13,373756380.0,150250409.0,195,15,3,영등포구,15501,16382,17963
신길6동주민센터,353863829.57894737,21373.407894736843,8,165374750.0,95781739.0,79,13,2,영등포구,11832,11270,14813
신길대성유니드아파트,457618724.4166667,9466.316666666668,3,295481878.0,160469423.0,72,3,0,영등포구,7277,5662,9377
신길동홍어거리,121048454.4,6486.7,2,150454490.0,87684259.0,114,6,1,영등포구,11558,10084,15079
신길새마을금고신길4동지점,74188182.03571428,7166.75,5,74384903.0,37079178.0,38,8,1,영등포구,5804,5481,7667
신길역 1번,14181726.0,807.3846153846154,11,83723531.0,52848023.0,188,1,6,영등포구,8256,5850,10061
신길역 3번,234384550.6451613,30512.516129032258,10,256632004.0,208008268.0,75,9,0,영등포구,8446,7641,7641
신대림초등학교,61959933.20512821,2507.153846153846,4,129066968.0,70405726.0,40,4,1,영등포구,6654,5906,9139
신우어린이공원,856360048.1304348,1973.6521739130435,0,145010004.0,85590872.0,43,1,0,영등포구,4024,3081,7222
신풍역 1번,247282140.7368421,15316.22105263158,9,241991389.0,122876138.0,153,18,4,영등포구,13187,11950,17691
신풍역 2번,159654773.70588234,1863.1176470588236,0,59914858.0,34621138.0,36,11,1,영등포구,2868,2430,3491
신풍역 3번,172536618.75,2572.840909090909,4,30365138.0,21663094.0,30,5,0,영등포구,878,800,839
신풍역 6번(신길6동공영주차장),41890192.875,590.6875,1,25954172.0,11206680.0,19,0,0,영등포구,1112,826,2079
양평역 2번,366466973.1111111,21097.01851851852,17,196570130.0,102639162.0,184,16,3,영등포구,2953,2433,3574
