상권_코드_명,점포_수
돌곶이역 5번,163
돌곶이역 8번,168
동교초등학교,236
동구여중,96
동대문경찰서,42
동대문구청,220
동대문역 1번,135
동대문역 3번,30
동대문역사문화공원역 5번,106
동대문중앙새마을금고본점,40
동대부고,245
동대부여고,178
동덕여대,14
동묘앞역 2번,127
동묘앞역 3번,79
동의보감타워,94
동의초등학교,40
동일여자고등학교,108
동작구자원봉사센터,51
두산초등학교,73
둔촌2동주민센터,144
둔촌고등학교(둔촌중학교),79
둔촌동역 1번(한산중학교),351
둔촌동역 3번(성내3동주민센터),161
둔촌동역 4번,143
둔촌푸르지오아파트,25
등촌1동주민센터,370
등촌3동주민센터,490
등촌역 1번,53
등촌역 4번,75
등촌역 7번,66
떡전교사거리,72
뚝섬역교차로,137
뚝섬유원지역 1번,38
뜸부기어린이공원,196
러스크서울병원,186
리움미술관,61
마장역 2번,203
마장역 3번,143
마장지하차도,71
마천1치안센터,62
마천공원,45
마천역(마천초등학교),461
마포FM,120
마포경찰서,40
마포구청역 1번,179
마포구청역 4번,147
마포구청역 7번,261
마포역 4번,56
만리재,113
말미고개,193
망리단길,864
망우3동주민센터,77
망우본동주민센터,299
망우역 1번,142
망우역 2번,186
망원나들목체육관,51
망원역 1번,205
매봉역 1번,53
먹골역 1번,209
먹골역 5번,281
먹골파출소,35
메가박스 상봉,280
메디힐병원,264
면동초등학교,150
면목2동체육관,299
면목5동주민센터,122
면목동우체국,176
면목역 1번,176
면목역 2번,309
면목역 3번,153
명일역 1번,71
명지대학교,395
명지대학교교회,281
명지전문대,10
모래내우체국,230
목4동주민센터,64
목동로데오거리,136
목동문화체육센터,32
목동보건지소,316
목동센트럴아이파크앞,88
목동역 5번,62
묘곡초등학교(고덕아이파크아파트),258
무너미어린이공원,98
문래동남성맨션,23
문래동사거리,64
문래소공원,44
문래역 3번,39
문래예술촌(문래창작촌),549
문래중학교,78
문성초등학교,301
문이교,10
문정동성당,62
문정역 1번,153
문정역 2번,299
문정초등학교,282
문현중학교(장지역 1번),160
미근동,84
미림여고,29
미성동주민센터,123
미성초등학교,209
미아사거리역 3번,84
미아역 5번,107
미아역 8번,164
미아초등학교,73
바우뫼공원,105
반포4동주민센터(몽마르뜨공원),99
발바닥공원,68
발산역 5번,188
방배노인종합복지관(이수중학교),69
방배동사이길,106
방배배수지체육공원,14
방배아이파크아파트,207
방배역 1번,18
방배역 2번(백석예술대학교),12
방배역 3번,91
방배초등학교,283
방아다리근린공원(횃불트리니티신학대학원대학교),26
방이동고분군(방산고등학교),138
방이역 1번,183
방이역 2번,175
방이역 4번,639
방학1동주민센터,329
방학역 1번,392
방학역 2번,237
방학중학교,224
방학초등학교,161
방현초등학교(방배119안전센터),165
방화역 1번,115
방화역 2번,101
방화역 3번,144
방화초등학교,95
배꽃어린이공원,25
배문고등학교,174
배화여자대학교(박노수미술관),219
백련산해모로아파트,115
백산초등학교,92
백석중학교,48
버티고개,34
번동주공2단지,42
벌말어린이공원,130
법제교육센터(버들어린이공원),148
베르사이유1아파트,60
보라매동주민센터(당곡고등학교),51
보라매역 2번,116
보라매역 4번,76
보라매역 6번,276
보문역 4번,110
보문역 5번,235
보문역 8번,135
보인중학교,153
본마을노인복지센터(서초구립내곡도서관),17
봉원사,27
봉은사역 4번,82
봉천역 1번(관악초등학교),121
봉천역 4번(봉천110안전센터),116
봉천역 6번,51
부암동주민센터,22
북가좌2동주민센터,212
북가좌초등학교,77
북정마을,21
북한산보국문역 1번,32
북한산보국문역 2번,96
북한산우이역 2번,78
불광역 3번,59
불광역 7번,281
불광역 8번,63
불광중학교,37
사가정역 1번,213
사가정역 4번,150
사근동살곶이상점가,110
사당5동주민센터,79
사당역 10번,415
사당역 4번,314
사당종합체육관,45
사직공원(한국사회과학도서관),56
삼각산119안전센터,56
삼각지역 14번,23
삼각지역 3번,45
삼광초등학교,68
삼선동주민센터,232
삼선중학교,172
삼성산자연공원(서울금천초등학교),139
삼성전자서울R&D(서울우면초등학교),30
삼성중앙역 5번,40
삼성중앙역 7번,36
삼양사거리역 1번,97
삼양사거리역 2번,102
삼양입구사거리,127
삼육보건대학교,206
삼전역 1번,535
삼전역 3번,247
삼전역 4번,421
상계2동주민센터,219
상계3동4동주민센터,50
상계5동주민센터,384
상계역,337
상계제일중학교,58
상계초등학교,215
상도1동주민센터앞,46
상도4동주민센터,84
상도역 1번,60
상도역 2번,122
상도역 5번,376
상도초등학교,78
상봉역 3번,253
상봉역 4번,286
상봉역 7번,102
상수역 3번,50
상수역 4번,143
상신초등학교입구,68
상왕십리역 3번,193
상왕십리역 6번,88
상월곡역 1번,171
상월곡역 2번,128
상월곡역 3번,68
상일여고(상일초등학교),380
새남터성지,105
새절역 2번,62
새절역 3번,173
새터산,102
샘말어린이공원,107
샤로수길,502
서강대역 1번,282
서강대학교,42
서경대학교,150
서대문구보건소별관,92
서대문구청,24
서대문소방서,77
서대문우체국,46
서래초등학교,61
서문여고,46
서빙고동주민센터,63
서빙고역 1번,44
서서울호수공원,96
서연중학교,148
서울공연예술고등학교,61
서울과학기술대,67
서울교통공사,88
서울국제고등학교,114
서울금융고등학교,76
서울나래학교(염곡어린이공원),17
서울대병원,52
서울대입구역 8번,159
서울독일학교,63
서울북부고용노동지청,90
서울산업정보학교(서울삼성초등학교),43
서울서부지방법원,324
서울숲역 1번,32
서울숲카페거리,123
서울시립대,134
서울시립영등포장애인복지관,4
서울시인재개발원,55
서울여자간호대학교,103
서울역 12번,198
서울역 15번,175
서울지방병무청,164
서울축산농협 독산역지점(독산파출소),140
서울프랑스학교,42
서원동주민센터(신관중학교),99
서일대학교,261
서초동성당,73
서초소방서,45
서초우방유쉘아파트,32
서초중학교,105
석계역 1번,204
석계역 2번,125
석계역 7번,243
석관고등학교,70
석관중앙교회,130
석수역 1번 출입구,86
석촌고분역 1번,380
석촌고분역 3번,195
석촌고분역 4번,198
석촌역 3번,377
석촌역 6번,224
석촌역 7번,321
석촌중학교(방이육교),76
선사초등학교,21
선유도역 1번,533
선유도역 6번,183
선일여고,208
선정릉역 4번,135
선정중학교,108
성곡미술관,346
성균관대학교,137
성남고등학교,178
성내중학교,64
성내천어린이공원(하니사랑길),203
성동구립금호도서관,21
성동구보건소,82
성동세무서,131
성동초등학교,106
성미산체육관,158
성북초등학교앞,52
성산중학교,278
성서초등학교,173
성수119안전센터,276
성수1가1동주민센터,95
성수2가3동주민센터,100
성수동카페거리,427
성수초등학교,518
성신여대운정그린캠퍼스,255
성신여대입구역 1번,155
성신여대입구역 4번,128
성신여대입구역 7번,120
성심여자고등학교,294
성원어린이공원,94
성원중학교,468
성자초등학교,180
세검정,78
세검정초등학교,126
세곡초등학교,250
세명컴퓨터고등학교,73
세종대왕기념관교차로,39
세종대학교,39
세화어린이공원,7
솔밭공원역 1번,47
솔밭공원역 2번,119
솔숲어린이공원,33
송정역 2번,88
송정역 3번,362
송정역 4번,23
송정체육공원,134
송중동주민센터,109
송중초등학교,265
송천동주민센터,39
송천초등학교,139
송파나루역 1번(송리단길),510
송파나루역 2번,152
송파나루역 3번,71
송파역 2번,108
송파책박물관,78
수궁동주민센터,166
수락산디자인거리,293
수락산역 4번,427
수색성당,30
수색역 1번,17
수송초등학교,297
수유1동주민센터,160
수유동우체국,96
수유북부시장옆,87
수유시장옆,119
수유역 2번,151
수유초등학교,199
수족관거리,30
숙대입구,454
숙대입구역 1번,134
숭곡초등학교,353
숭실대입구역 1번,181
숭실대입구역 4번,156
시립대앞사거리,269
시립서북병원,313
시조사삼거리,44
시흥3동 우편취급국,441
시흥4동주민센터(서울신흥초등학교),148
시흥동 은행나무사거리,206
시흥초등학교(시흥1동우체국),180
신곡초등학교,122
신광명마을,40
신구중학교,35
신금호역 4번,82
신길2동우편취급국,150
신길3동주민센터,195
신길6동주민센터,79
신길대성유니드아파트,72
신길동홍어거리,114
신길새마을금고신길4동지점,38
신길역 1번,188
신길역 3번,75
신내1동주민센터,343
신내IC북측,32
신내역 1번,31
신내역 2번,31
신당역 3번,328
신대림초등학교,40
신대방삼거리역 1번,162
신대방삼거리역 3번,81
신대방삼거리역 4번(대림초등학교),35
신대방역 1번,75
신대방역 2번,397
신대방역 3번,29
신대방역 4번,275
신림역 1번,32
"신림역 5번(신림동주민센터, 신림동별빛거리)",316
신림역 8번,188
신림우방아파트,75
신림주공2단지(광신고등학교),17
신림초등학교,50
신림현대아파트,94
신목동역,55
신묵초등학교,280
신방화역 2번,407
신방화역 8번,84
신사1동주민센터,261
신사은행나무공원,76
신서초등학교,120
신설동역 12번,99
신설동역 9번,184
신성초등학교,196
신수동주민센터,111
신우어린이공원,43
신원동주민센터,140
신월1동우편취급국,233
신월1동주민센터,218
신월1파출소,186
신월2동주민센터,183
신월3동주민센터,235
신월4동주민센터,192
신월7동주민센터,174
신월문화체육센터,229
신월시영아파트중문,86
신월중학교,105
신자초등학교,186
신정2동주민센터,348
신정네거리역 2번,37
신정네거리역 4번,53
신정롯데캐슬아파트,245
신정역 1번,101
신정역 5번,262
신중초등학교,122
신진과학기술고등학교,113
신창초등학교,414
신촌역 6번,26
신풍역 1번,153
신풍역 2번,36
신풍역 3번,30
신풍역 6번(신길6동공영주차장),19
신한은행 방학동지점,109
신한은행 신월동지점,244
싸리고개근린공원,17
쌍문2동우체국,217
쌍문역1번(쌍리단길),194
쌍문초등학교,156
아래방죽마을공원(율현초등학교),49
