상권_코드_명,폐업_점포_수
돌곶이역 5번,3
돌곶이역 8번,2
동교초등학교,7
동구여중,2
동대문경찰서,1
동대문구청,5
동대문역 1번,2
동대문역 3번,0
동대문역사문화공원역 5번,2
동대문중앙새마을금고본점,0
동대부고,5
동대부여고,4
동덕여대,0
동묘앞역 2번,3
동묘앞역 3번,1
동의보감타워,1
동의초등학교,0
동일여자고등학교,2
동작구자원봉사센터,0
두산초등학교,0
둔촌2동주민센터,4
둔촌고등학교(둔촌중학교),0
둔촌동역 1번(한산중학교),5
둔촌동역 3번(성내3동주민센터),3
둔촌동역 4번,4
둔촌푸르지오아파트,1
등촌1동주민센터,9
등촌3동주민센터,14
등촌역 1번,0
등촌역 4번,2
등촌역 7번,2
떡전교사거리,2
뚝섬역교차로,1
뚝섬유원지역 1번,0
뜸부기어린이공원,3
러스크서울병원,4
리움미술관,1
마장역 2번,4
마장역 3번,1
마장지하차도,0
마천1치안센터,0
마천공원,0
마천역(마천초등학교),7
마포FM,0
마포경찰서,0
마포구청역 1번,3
마포구청역 4번,2
마포구청역 7번,5
마포역 4번,0
만리재,1
말미고개,3
망리단길,21
망우3동주민센터,1
망우본동주민센터,8
망우역 1번,2
망우역 2번,4
망원나들목체육관,0
망원역 1번,4
매봉역 1번,0
먹골역 1번,4
먹골역 5번,8
먹골파출소,1
메가박스 상봉,6
메디힐병원,5
면동초등학교,2
면목2동체육관,6
면목5동주민센터,1
면목동우체국,6
면목역 1번,4
면목역 2번,10
면목역 3번,3
명일역 1번,0
명지대학교,10
명지대학교교회,6
명지전문대,0
모래내우체국,6
목4동주민센터,1
목동로데오거리,2
목동문화체육센터,0
목동보건지소,8
목동센트럴아이파크앞,1
목동역 5번,1
묘곡초등학교(고덕아이파크아파트),5
무너미어린이공원,1
문래동남성맨션,0
문래동사거리,0
문래소공원,0
문래역 3번,0
문래예술촌(문래창작촌),11
문래중학교,1
문성초등학교,8
문이교,0
문정동성당,1
문정역 1번,3
문정역 2번,6
문정초등학교,5
문현중학교(장지역 1번),4
미근동,1
미림여고,1
미성동주민센터,2
미성초등학교,3
미아사거리역 3번,1
미아역 5번,1
미아역 8번,4
미아초등학교,3
바우뫼공원,1
반포4동주민센터(몽마르뜨공원),1
발바닥공원,1
발산역 5번,3
방배노인종합복지관(이수중학교),1
방배동사이길,1
방배배수지체육공원,0
방배아이파크아파트,3
방배역 1번,0
방배역 2번(백석예술대학교),0
방배역 3번,1
방배초등학교,4
방아다리근린공원(횃불트리니티신학대학원대학교),0
방이동고분군(방산고등학교),3
방이역 1번,3
방이역 2번,3
방이역 4번,14
방학1동주민센터,13
방학역 1번,10
방학역 2번,5
방학중학교,5
방학초등학교,4
방현초등학교(방배119안전센터),5
