상권_코드_명,프랜차이즈_점포_수
돌곶이역 3번,2
돌곶이역 5번,16
돌곶이역 8번,13
동교초등학교,15
동구여중,4
동대문경찰서,2
동대문구청,11
동대문역 1번,7
동대문역 3번,1
동대문역사문화공원역 5번,3
동대문중앙새마을금고본점,0
동대부고,22
동대부여고,13
동덕여대,1
동묘앞역 2번,13
동묘앞역 3번,4
동의보감타워,7
동의초등학교,3
동일여자고등학교,10
동작구자원봉사센터,5
두산초등학교,6
둔촌2동주민센터,17
둔촌고등학교(둔촌중학교),4
둔촌동역 1번(한산중학교),20
둔촌동역 3번(성내3동주민센터),7
둔촌동역 4번,11
둔촌푸르지오아파트,2
등촌1동주민센터,32
등촌3동주민센터,55
등촌역 1번,4
등촌역 4번,5
등촌역 7번,4
떡전교사거리,4
뚝섬역교차로,7
뚝섬유원지역 1번,1
뜸부기어린이공원,8
러스크서울병원,13
리움미술관,0
마장역 2번,18
마장역 3번,6
마장지하차도,1
마천1치안센터,2
마천공원,3
마천역(마천초등학교),32
마포FM,3
마포경찰서,8
마포구청역 1번,32
마포구청역 4번,10
마포구청역 7번,22
마포역 4번,2
만리재,7
말미고개,21
망리단길,40
망우3동주민센터,6
망우본동주민센터,24
망우역 1번,13
망우역 2번,20
망원나들목체육관,4
망원역 1번,10
매봉역 1번,3
먹골역 1번,29
먹골역 5번,8
먹골파출소,3
메가박스 상봉,21
메디힐병원,19
면동초등학교,10
면목2동체육관,13
면목5동주민센터,8
면목동우체국,17
면목역 1번,11
면목역 2번,23
면목역 3번,7
명일역 1번,8
명지대학교,62
명지대학교교회,40
명지전문대,2
모래내우체국,18
목4동주민센터,3
목동로데오거리,7
목동문화체육센터,5
목동보건지소,27
목동센트럴아이파크앞,9
목동역 5번,7
묘곡초등학교(고덕아이파크아파트),31
무너미어린이공원,8
문래동남성맨션,3
문래동사거리,1
문래소공원,1
문래역 3번,0
문래예술촌(문래창작촌),15
문래중학교,9
문성초등학교,15
문이교,1
문정동성당,6
문정역 1번,8
문정역 2번,13
문정초등학교,19
문현중학교(장지역 1번),18
미근동,6
미림여고,4
미성동주민센터,14
미성초등학교,15
미아사거리역 3번,4
미아역 5번,5
미아역 8번,8
미아초등학교,6
바우뫼공원,5
반포4동주민센터(몽마르뜨공원),2
발바닥공원,5
발산역 5번,16
방배노인종합복지관(이수중학교),4
방배동사이길,8
방배배수지체육공원,0
방배아이파크아파트,8
방배역 1번,1
방배역 2번(백석예술대학교),1
방배역 3번,6
방배초등학교,13
방아다리근린공원(횃불트리니티신학대학원대학교),3
방이동고분군(방산고등학교),7
방이역 1번,18
방이역 2번,9
방이역 4번,54
방학1동주민센터,22
방학역 1번,29
방학역 2번,40
방학중학교,14
방학초등학교,18
방현초등학교(방배119안전센터),8
방화역 1번,31
방화역 2번,11
방화역 3번,14
방화초등학교,6
배꽃어린이공원,2
배문고등학교,9
배화여자대학교(박노수미술관),8
백련산해모로아파트,9
백산초등학교,14
백석중학교,3
버티고개,0
번동주공2단지,4
벌말어린이공원,11
법제교육센터(버들어린이공원),8
베르사이유1아파트,0
보라매동주민센터(당곡고등학교),5
보라매역 2번,8
보라매역 4번,3
보라매역 6번,17
보문역 4번,9
보문역 5번,6
보문역 8번,10
보인중학교,12
본마을노인복지센터(서초구립내곡도서관),1
봉원사,8
봉은사역 4번,4
봉천역 1번(관악초등학교),13
봉천역 4번(봉천110안전센터),11
봉천역 6번,3
부암동주민센터,1
북가좌2동주민센터,18
북가좌초등학교,6
북정마을,2
북한산보국문역 1번,3
북한산보국문역 2번,8
북한산우이역 2번,6
불광역 3번,1
불광역 7번,18
불광역 8번,12
불광중학교,1
사가정역 1번,19
사가정역 4번,11
사근동살곶이상점가,14
사당5동주민센터,4
사당역 10번,36
사당역 4번,25
사당종합체육관,4
사직공원(한국사회과학도서관),2
삼각산119안전센터,14
삼각지역 14번,3
삼각지역 3번,1
삼광초등학교,5
삼선동주민센터,17
삼선중학교,17
삼성산자연공원(서울금천초등학교),11
삼성전자서울R&D(서울우면초등학교),4
삼성중앙역 5번,2
삼성중앙역 7번,2
삼양사거리역 1번,9
삼양사거리역 2번,10
삼양입구사거리,7
삼육보건대학교,25
삼전역 1번,62
삼전역 3번,29
삼전역 4번,40
상계2동주민센터,18
상계3동4동주민센터,1
상계5동주민센터,17
상계역,39
상계제일중학교,9
상계초등학교,19
상도1동주민센터앞,8
상도4동주민센터,7
상도역 1번,9
상도역 2번,11
상도역 5번,44
상도초등학교,8
상봉역 3번,20
상봉역 4번,21
상봉역 7번,5
상수역 3번,1
상수역 4번,3
상신초등학교입구,2
상왕십리역 3번,8
상왕십리역 6번,9
상월곡역 1번,12
상월곡역 2번,4
상월곡역 3번,7
상일여고(상일초등학교),34
새남터성지,9
새절역 2번,6
새절역 3번,17
새터산,8
샘말어린이공원,6
샤로수길,41
서강대역 1번,24
서강대학교,4
서경대학교,13
서대문구보건소별관,7
서대문구청,1
서대문소방서,4
서대문우체국,10
서래초등학교,2
서문여고,2
서빙고동주민센터,2
서빙고역 1번,4
서서울호수공원,9
서연중학교,5
서울공연예술고등학교,6
서울과학기술대,18
서울교통공사,4
서울국제고등학교,13
서울금융고등학교,5
서울나래학교(염곡어린이공원),1
서울대병원,17
서울대입구역 8번,12
서울독일학교,3
서울북부고용노동지청,2
서울산업정보학교(서울삼성초등학교),4
서울서부지방법원,22
